Typ;Nr;Rubrik;Text;1;2-10;11-15;16-19;20;@bildsida;@textsida;fill_color;line_color;ordning_bild;ordning_text
Politik;P11;Klimatanpassning;Nya krav för klimatanpassat byggande;Lämna tillbaka projekt med högst intäkt;+ 2 hållbarhetskrav;+ 1  hållbarhetskrav;Ingen effekt;+1 riskbuffert;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\Politikkort Politikkort.png;;#2F4F4F;#2F4F4F;11;10
Politik;P12;Säkerhetsinspektion;Brandmyndigheten höjer säkerhetskraven;Lämna tillbaka projekt med högst intäkt;+ 1  kvalitetskrav;+ 1  kvalitetskrav;Ingen effekt;+2 riskbuffertar;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\Politikkort Politikkort.png;;#2F4F4F;#2F4F4F;12;9
Politik;P13;Regelverk ändras;Nya byggbestämmelser träder i kraft;Lämna tillbaka projekt med högst intäkt;+ 1  hållbarhetskrav;Ingen effekt;Ingen effekt;+1 riskbuffert;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\Politikkort Politikkort.png;;#2F4F4F;#2F4F4F;13;16
Politik;P14;Trafikplanering;Ändrade trafikslösningar krävs för området;Lämna tillbaka projekt med högst intäkt;+ 1  kvalitetskrav;+ 1  kvalitetskrav;Ingen effekt;+1 riskbuffert;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\Politikkort Politikkort.png;;#2F4F4F;#2F4F4F;14;15
Politik;P15;Miljöaktivism;Miljögrupper mobiliserar mot projektet;Lämna tillbaka projekt med högst intäkt;+ 2 hållbarhetskrav;+ 1  hållbarhetskrav;Ingen effekt;+2 riskbuffertar;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\Politikkort Politikkort.png;;#2F4F4F;#2F4F4F;15;14
Politik;P16;Korruption uppdagas;Skandal inom kommun försvårar handläggning;Lämna tillbaka projekt med högst intäkt;+ 1  kvalitetskrav;Ingen effekt;Ingen effekt;+1 riskbuffert;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\Politikkort Politikkort.png;;#2F4F4F;#2F4F4F;16;13
Politik;P17;Rättslig prövning;Projektet överklagas till högre instans;Lämna tillbaka projekt med högst intäkt;Ingen effekt;Ingen effekt;Ingen effekt;+2 riskbuffertar;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\Politikkort Politikkort.png;;#2F4F4F;#2F4F4F;17;20
Politik;P18;Konkurrens intensifieras;Fler aktörer vill bygga i samma område;Lämna tillbaka projekt med högst intäkt;+ 1  kvalitetskrav och +1 hållbarhetskrav;+ 1  kvalitetskrav;Ingen effekt;+1 riskbuffert;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\Politikkort Politikkort.png;;#2F4F4F;#2F4F4F;18;19
Politik;P19;Centraliseringsreform;Beslutsmakt flyttas till regional nivå;Lämna tillbaka projekt med högst intäkt;+ 1  hållbarhetskrav;Ingen effekt;Ingen effekt;+2 riskbuffertar;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\Politikkort Politikkort.png;;#2F4F4F;#2F4F4F;19;18
Politik;P20;EU-direktiv;Nya EU-regler måste implementeras;Lämna tillbaka projekt med högst intäkt;+ 1  kvalitetskrav och +1 hållbarhetskrav;+ 1  hållbarhetskrav;Ingen effekt;+1 riskbuffert;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\Politikkort Politikkort.png;;#2F4F4F;#2F4F4F;20;17
Dialog;D01;Boendedialog;Strukturerad dialog med framtida boende;-  1  kvalitetskrav;-  1  kvalitetskrav;-  2 kvalitetskrav;Byt projekt (samma typ) om så önskas;Dra markanvisning om så önskas;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\Dialogkort Dialogkort.png;;#2F4F4F;#2F4F4F;21;24
Dialog;D02;Arkitektworkshop;Kreativ workshop med arkitektteamet;Ingen effekt;+1 riskbuffert;+2 riskbuffertar;Ta projekt från valfri hög, om så önskas;Dra markanvisning om så önskas;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\Dialogkort Dialogkort.png;;#2F4F4F;#2F4F4F;22;23
Dialog;D03;Miljöpartnerskap;Samarbete med miljöorganisationer;-  1 hållbarhetskrav;-  1 hållbarhetskrav;-  2 hållbarhetskrav;Byt projekt (samma typ) om så önskas;Dra markanvisning om så önskas;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\Dialogkort Dialogkort.png;;#2F4F4F;#2F4F4F;23;22
Dialog;D04;Leverantörsdialog;Fördjupad dialog med byggleverantörer;Ingen effekt;+1 riskbuffert;-  1  tid;Ta projekt från valfri hög, om så önskas;Dra markanvisning om så önskas;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\Dialogkort Dialogkort.png;;#2F4F4F;#2F4F4F;24;21
Dialog;D05;Innovationsworkshop;Utveckling av nya bygglösningar;-  1  kvalitetskrav;-  1 hållbarhetskrav;+2 riskbuffertar;Byt projekt (samma typ) om så önskas;Dra markanvisning om så önskas;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\Dialogkort Dialogkort.png;;#2F4F4F;#2F4F4F;25;28
Dialog;D06;Myndighetsförhandling;Förhandling med bygglov och tillsyn;Ingen effekt;-  1  kvalitetskrav;-  2 tid;Ta projekt från valfri hög, om så önskas;Dra markanvisning om så önskas;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\Dialogkort Dialogkort.png;;#2F4F4F;#2F4F4F;26;27
Dialog;D07;Medborgarengagemang;Bred mobilisering av civilsamhället;-  1 hållbarhetskrav;+1 riskbuffert;-  1  hållbarhetskrav;Byt projekt (samma typ) om så önskas;Dra markanvisning om så önskas;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\Dialogkort Dialogkort.png;;#2F4F4F;#2F4F4F;27;26
Dialog;D08;Finansieringsmöte;Förhandling med banker och investerare;-  1  kvalitetskrav;-  1  kvalitetskrav;+2 riskbuffertar;Ta projekt från valfri hög, om så önskas;Dra markanvisning om så önskas;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\Dialogkort Dialogkort.png;;#2F4F4F;#2F4F4F;28;25
Dialog;D09;Teknisk konsultation;Expertrådgivning om tekniska lösningar;Ingen effekt;-  1  hållbarhetskrav;-  2 hållbarhetskrav;Byt projekt (samma typ) om så önskas;Dra markanvisning om så önskas;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\Dialogkort Dialogkort.png;;#2F4F4F;#2F4F4F;29;32
Dialog;D10;Marknadsanalys;Djup analys av marknadsbehov;-  1 hållbarhetskrav;+1 riskbuffert;-  1  kvalitetskrav;Ta projekt från valfri hög, om så önskas;Dra markanvisning om så önskas;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\Dialogkort Dialogkort.png;;#2F4F4F;#2F4F4F;30;31
Dialog;D11;Partnerskapsmöte;Förhandling om strategiska allianser;Ingen effekt;-  1 hållbarhetskrav;+2 riskbuffertar;Byt projekt (samma typ) om så önskas;Dra markanvisning om så önskas;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\Dialogkort Dialogkort.png;;#2F4F4F;#2F4F4F;31;30
Dialog;D12;Kvalitetscirkel;Systematisk kvalitetsförbättring;-  1  kvalitetskrav;-  1  kvalitetskrav;-  2 kvalitetskrav;Ta projekt från valfri hög, om så önskas;Dra markanvisning om så önskas;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\Dialogkort Dialogkort.png;;#2F4F4F;#2F4F4F;32;29
Dialog;D13;Hållbarhetsrådgivning;Specialisthjälp för miljöcertifiering;-  1 hållbarhetskrav;+1 riskbuffert;-  1  hållbarhetskrav;Byt projekt (samma typ) om så önskas;Dra markanvisning om så önskas;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\Dialogkort Dialogkort.png;;#2F4F4F;#2F4F4F;33;36
Dialog;D14;Tidplaneringsmöte;Optimering av projekt-tidplaner;Ingen effekt;-  1  kvalitetskrav;-  2 kvalitetskrav;Ta projekt från valfri hög, om så önskas;Dra markanvisning om så önskas;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\Dialogkort Dialogkort.png;;#2F4F4F;#2F4F4F;34;35
Dialog;D15;Kreativ workshop;Tvärfunktionell kreativitetsprocess;-  1  kvalitetskrav;-  1  kvalitetskrav;+2 riskbuffertar;Byt projekt (samma typ) om så önskas;Dra markanvisning om så önskas;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\Dialogkort Dialogkort.png;;#2F4F4F;#2F4F4F;35;34
Dialog;D16;Expertpanel;Rådgivning frän branschexperter;-  1 hållbarhetskrav;+1 riskbuffert;-  1  hållbarhetskrav;Ta projekt från valfri hög, om så önskas;Dra markanvisning om så önskas;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\Dialogkort Dialogkort.png;;#2F4F4F;#2F4F4F;36;33
Dialog;D17;Framtidsworkshop;Scenarioplanering för långsiktig hållbarhet;Ingen effekt;-  1 hållbarhetskrav;-  2 hållbarhetskrav;Byt projekt (samma typ) om så önskas;Dra markanvisning om så önskas;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\Dialogkort Dialogkort.png;;#2F4F4F;#2F4F4F;37;40
Dialog;D18;Kommunikationsstrategi;Professionell kommunikationsplanering;-  1  kvalitetskrav;-  1  kvalitetskrav;+2 riskbuffertar;Ta projekt från valfri hög, om så önskas;Dra markanvisning om så önskas;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\Dialogkort Dialogkort.png;;#2F4F4F;#2F4F4F;38;39
Dialog;D19;Värderingsstudie;Professionell värdering av projektpotential;-  1 hållbarhetskrav;+1 riskbuffert;-  1  hållbarhetskrav;Byt projekt (samma typ) om så önskas;Dra markanvisning om så önskas;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\Dialogkort Dialogkort.png;;#2F4F4F;#2F4F4F;39;38
Dialog;D20;Processoptimering;Lean-analys av alla arbetsprocesser;Ingen effekt;-  1  kvalitetskrav;-  2 kvalitetskrav;Ta projekt från valfri hög, om så önskas;Dra markanvisning om så önskas;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\Dialogkort Dialogkort.png;;#2F4F4F;#2F4F4F;40;37
