Fas;Kort_ID;ID;Namn;Typ;Fas;Svårighetsgrad;Beskrivning;Summering;Trigger;Klassvillkor;Tröskel_1_5;Tröskel_6_17;Tröskel_18_20;Tröskel_21_plus;@bildsida;@textsida;fill_color;line_color;Rubrik;ordning_bild;ordning_text;skede_color;bakgrund_color;bakskede
Förberedelse;GEM ARBETEN;11;Myndigheter tolkar brandskyddskrav olika;Negativt;Förberedelse;Medium;Bygglov, brandkonsult och räddningstjänst har olika tolkningar av brandcellsindelningen i ritningarna.;Gemensamma arbeten, Myndigheter;Alla;Skalad;Fördröjning: 3 månader;Fördröjning: 2 månader;Fördröjning: 1 månad;Väl löst: Ingen effekt;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder/Händelsekort Planering.png;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\Leverantörer GEMENSAMMA ARBETEN.png;#0F3D5C;#1A6B9A;HÄNDELSEKORT;11;10;#1A6B9A;#FCF6EF;#DDE9F0
Förberedelse;GEM ARBETEN;12;APD-plan för blandad verksamhet komplex;Negativt;Förberedelse;Medium;Förskolans säkerhetskrav och bostädernas tillgänglighet kräver separata entréer. Omarbetning av situationsplan.;Gemensamma arbeten, Säkerhet;Alla;Skalad;Kostnad: -2 Mkr;Mindre problem: -1 Mkr;Hanterat: Ingen effekt;Väl löst: Ingen effekt;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder/Händelsekort Planering.png;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\Leverantörer GEMENSAMMA ARBETEN.png;#0F3D5C;#1A6B9A;HÄNDELSEKORT;12;9;#1A6B9A;#FCF6EF;#DDE9F0
Förberedelse;HUSUNDERBYGGNAD;13;Geoutlåtande visar bättre grund än väntat;Positivt;Förberedelse;Medium;Geoteknisk utredning visar att enklare grundläggning räcker. Mindre betong och stål ger besparingar och lägre klimatpåverkan i klimatkalkylen.;Husunderbyggnad, Geoteknik;Alla;Alla;Mindre besparing: +1 Mkr;Besparing: +2 Mkr;Bra besparing: +3 Mkr;Optimalt: +1 Q;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder/Händelsekort Planering.png;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder/Leverantörer HUSUNDERBYGGNAD.png;#0F3D5C;#1A6B9A;HÄNDELSEKORT;13;16;#1A6B9A;#FCF6EF;#DDE9F0
Förberedelse;HUSUNDERBYGGNAD;14;Grundvattenutredning visar nya nivåer;Negativt;Förberedelse;Medium;Kompletterande grundvattenundersökning ger högre nivåer än antaget. Konstruktören reviderar dräneringen och dagvattenhanteringen.;Husunderbyggnad, Geoteknik;Alla;Skalad;Fördröjning: 3 månader;Fördröjning: 2 månader;Fördröjning: 1 månad;Väl löst: Ingen effekt;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder/Händelsekort Planering.png;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder/Leverantörer HUSUNDERBYGGNAD.png;#0F3D5C;#1A6B9A;HÄNDELSEKORT;14;15;#1A6B9A;#FCF6EF;#DDE9F0
Förberedelse;HUSUNDERBYGGNAD;15;Grundkonstruktionen kan optimeras;Positivt;Förberedelse;Medium;Detaljprojekteringen visar att grundplattan kan tunnas och delvis utföras i lågkolbetong. Konstruktören föreslår en kostnadseffektivare och klimatsmartare lösning.;Husunderbyggnad, Konstruktion;Alla;Alla;Effektivitet: +1 Mkr;Effektivitet: +2 Mkr;Mycket bra: +3 Mkr;Optimalt: +5 Mkr;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder/Händelsekort Planering.png;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder/Leverantörer HUSUNDERBYGGNAD.png;#0F3D5C;#1A6B9A;HÄNDELSEKORT;15;14;#1A6B9A;#FCF6EF;#DDE9F0
Förberedelse;HUSUNDERBYGGNAD;16;Sättningsberäkning visar differenser;Negativt;Förberedelse;Medium;Geoteknikerns beräkning visar att olika laster från bostäder och lokaler ger ojämn sättning. Grundkonstruktionen måste projekteras om.;Husunderbyggnad, Konstruktion;Alla;Skalad;Fördröjning: 3 månader;Fördröjning: 2 månader;Fördröjning: 1 månad;Väl löst: Ingen effekt;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder/Händelsekort Planering.png;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder/Leverantörer HUSUNDERBYGGNAD.png;#0F3D5C;#1A6B9A;HÄNDELSEKORT;16;13;#1A6B9A;#FCF6EF;#DDE9F0
Förberedelse;HUSUNDERBYGGNAD;17;Repetitiva planlösningar ger effektiv projektering;Positivt;Förberedelse;Medium;Renodlat bostadsprojekt möjliggör standardiserade typritningar och prefabelement. Projekteringskostnaden sjunker, kvaliteten ökar och klimatkalkylen blir tydligare.;Husunderbyggnad, Projektering;Alla;Alla;Effektivitet: +2 Mkr;Effektivitet: 1 månad förkortad tidplan;Effektivitet: 2 månader förkortad tidplan;Optimalt: +1 Q;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder/Händelsekort Planering.png;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder/Leverantörer HUSUNDERBYGGNAD.png;#0F3D5C;#1A6B9A;HÄNDELSEKORT;17;20;#1A6B9A;#FCF6EF;#DDE9F0
Förberedelse;INSTALLATÖRER;18;Installationssystemen krockar i BIM-modellen;Negativt;Förberedelse;Medium;Vid BIM-samgranskning upptäcks att VS-stammar kolliderar med ventilationskanaler och kanaler för värmeåtervinning. Omritning krävs.;Installatörer, VVS;Alla;Skalad;Kostnad: -3 Mkr;Kostnad: -1 Mkr;Hanterat: -0,5 Mkr;Väl löst: Ingen effekt;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder/Händelsekort Planering.png;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder/Leverantörer INSTALLATIONER.png;#0F3D5C;#1A6B9A;HÄNDELSEKORT;18;19;#1A6B9A;#FCF6EF;#DDE9F0
Förberedelse;INSTALLATÖRER;19;Installationssamordning kräver fler möten;Negativt;Förberedelse;Medium;EL-, VS- och ventilationskonsulter behöver extra samordningsmöten för att lösa korsningar i schakt.;Installatörer, Samordning;Alla;Skalad;Fördröjning: 2 månader;Fördröjning: 1 månad;Hanterat: Ingen effekt;Väl löst: Ingen effekt;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder/Händelsekort Planering.png;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder/Leverantörer INSTALLATIONER.png;#0F3D5C;#1A6B9A;HÄNDELSEKORT;19;18;#1A6B9A;#FCF6EF;#DDE9F0
Förberedelse;INSTALLATÖRER;20;Beställaren vill uppgradera installationer (B-ÄTA);Neutralt;Förberedelse;Medium;Beställaren önskar smartare styr- och reglersystem för lägre energianvändning. Systemhandlingen behöver kompletteras.;Installatörer, Beställare;Alla;Alla;Kostnad: -2 Mkr;Kostnad: -1 Mkr;Hanterat: Ingen kostnad, +1 H;Väl förhandlat: +1 Mkr, +1 H;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder/Händelsekort Planering.png;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder/Leverantörer INSTALLATIONER.png;#0F3D5C;#1A6B9A;HÄNDELSEKORT;20;17;#1A6B9A;#FCF6EF;#DDE9F0
Förberedelse;INSTALLATÖRER;21;VA-systemen krockar i projekteringen;Negativt;Förberedelse;Medium;Bostädernas VA, förskolans specialkrav och lokalernas fettavskiljare kräver separata system. Ritningssamordning saknas.;Installatörer, VVS;Alla;Skalad;Kostnad: -2 Mkr;Kostnad: -1 Mkr;Hanterat: Ingen effekt;Väl löst: Ingen effekt;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder/Händelsekort Planering.png;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder/Leverantörer INSTALLATIONER.png;#0F3D5C;#1A6B9A;HÄNDELSEKORT;21;24;#1A6B9A;#FCF6EF;#DDE9F0
Förberedelse;INSTALLATÖRER;22;Ventilationsbehov kolliderar mellan verksamheter;Negativt;Förberedelse;Medium;Bostäder, kontor och förskola har olika ventilationskrav och olika behov av värmeåtervinning. Kanalföringen krockar i schaktritningarna.;Installatörer, Ventilation;Alla;Skalad;Kostnad: -2 Mkr;Kostnad: -1 Mkr;Hanterat: Ingen effekt;Väl löst: Ingen effekt;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder/Händelsekort Planering.png;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder/Leverantörer INSTALLATIONER.png;#0F3D5C;#1A6B9A;HÄNDELSEKORT;22;23;#1A6B9A;#FCF6EF;#DDE9F0
Förberedelse;INSTALLATÖRER;23;Eleffektbehovet överskrider nätanslutning;Negativt;Förberedelse;Medium;Sammanlagd effekt för kontor, förskola, bostäder och laddinfrastruktur överskrider elnätsanslutningen. Nätägaren kräver omprojektering.;Installatörer, El;Alla;Skalad;Kostnad: -2 Mkr;Kostnad: -1 Mkr;Hanterat: Ingen effekt;Väl löst: Ingen effekt;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder/Händelsekort Planering.png;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder/Leverantörer INSTALLATIONER.png;#0F3D5C;#1A6B9A;HÄNDELSEKORT;23;22;#1A6B9A;#FCF6EF;#DDE9F0
Förberedelse;INV YTSKIKT;24;Ytskiktsspecifikationen uppfyller inte krav;Negativt;Förberedelse;Medium;Valt golvmaterial klarar inte ljudklassificeringen. Akustikkonsulten kräver byte i beskrivningen.;Inredning, Ytskikt;Alla;Skalad;Kostnad: -2 Mkr;Kostnad: -1 Mkr;Hanterat: Ingen effekt;Väl löst: Ingen effekt;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder/Händelsekort Planering.png;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder/Leverantörer INV YTSKIKT.png;#0F3D5C;#1A6B9A;HÄNDELSEKORT;24;21;#1A6B9A;#FCF6EF;#DDE9F0
Förberedelse;INV YTSKIKT;25;Materialval för ytskikt behöver utredas;Neutralt;Förberedelse;Medium;Val mellan klinker och plastmatta i badrum påverkar både tätskiktslösningen och klimatkalkylen. Konstruktionsdetaljen måste ritas om.;Inredning, Konstruktion;Alla;Skalad;Kostnad: -2 Mkr;Kostnad: -1 Mkr;Hanterat: Ingen effekt;Väl löst: Ingen effekt;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder/Händelsekort Planering.png;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder/Leverantörer INV YTSKIKT.png;#0F3D5C;#1A6B9A;HÄNDELSEKORT;25;28;#1A6B9A;#FCF6EF;#DDE9F0
Förberedelse;INV YTSKIKT;26;BRF vill uppgradera ytskikt (B-ÄTA);Neutralt;Förberedelse;Medium;BRF-styrelsen önskar parkett istället för laminat och kakel istället för plastmatta. Material med bättre klimatdeklaration och längre livslängd kräver ny kostnadskalkyl.;Inredning, Beställare;Alla;Alla;Kostnad: -2 Mkr;Kostnad: -1 Mkr;Hanterat: Ingen effekt;Väl förhandlat: +0,5 Mkr;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder/Händelsekort Planering.png;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder/Leverantörer INV YTSKIKT.png;#0F3D5C;#1A6B9A;HÄNDELSEKORT;26;27;#1A6B9A;#FCF6EF;#DDE9F0
Förberedelse;MARK;27;Geoutredning visar berg på oväntad nivå;Negativt;Förberedelse;Medium;Kompletterande provborrning hittar berg ytligare än i det ursprungliga geoutlåtandet. Grundläggningsprojekteringen påverkas.;Mark, Geoteknik;Alla;Skalad;Fördröjning: 3 månader;Fördröjning: 2 månader;Fördröjning: 1 månad;Väl löst: Ingen effekt;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder/Händelsekort Planering.png;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder/Leverantörer MARK.png;#0F3D5C;#1A6B9A;HÄNDELSEKORT;27;26;#1A6B9A;#FCF6EF;#DDE9F0
Förberedelse;MARK;28;Ny geoteknisk undersökning ger förändrad bild;Negativt;Förberedelse;Medium;Ytterligare borrprover visar lera istället för morän. Geokonsulten reviderar grundläggningsrekommendationen.;Mark, Geoteknik;Alla;Skalad;Kostnad: -3 Mkr;Kostnad: -1 Mkr;Hanterat: Ingen effekt;Väl löst: Ingen effekt;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder/Händelsekort Planering.png;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder/Leverantörer MARK.png;#0F3D5C;#1A6B9A;HÄNDELSEKORT;28;25;#1A6B9A;#FCF6EF;#DDE9F0
Förberedelse;MARK;29;Miljöutredning visar förorenad mark (B-ÄTA);Negativt;Förberedelse;Medium;Miljöteknisk undersökning upptäcker föroreningar över Naturvårdsverkets riktvärden. Saneringskostnad måste projekteras in. Förhandla (B)ÄTA.;Mark, Miljö;Alla;Alla;Kostnad: -3 Mkr;Kostnad: -1 Mkr;Kostnad: -1 Mkr;Väl löst: Ingen effekt;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder/Händelsekort Planering.png;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder/Leverantörer MARK.png;#0F3D5C;#1A6B9A;HÄNDELSEKORT;29;32;#1A6B9A;#FCF6EF;#DDE9F0
Förberedelse;MARK;30;Grundläggningsmetoder krockar i projekteringen;Negativt;Förberedelse;Medium;Olika verksamheter kräver helt olika grundläggning. Bostäder behöver pålning medan lokaler kan stå på platta. Konstruktören måste lösa övergångszonen.;Mark, Konstruktion;Alla;Skalad;Kostnad: -2 Mkr;Kostnad: -1 Mkr;Hanterat: Ingen effekt;Väl löst: Ingen effekt;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder/Händelsekort Planering.png;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder/Leverantörer MARK.png;#0F3D5C;#1A6B9A;HÄNDELSEKORT;30;31;#1A6B9A;#FCF6EF;#DDE9F0
Förberedelse;MARK;31;Etappindelning skapar projekteringskonflikter;Negativt;Förberedelse;Medium;Markprojekteringen för olika etapper krockar tidsmässigt. Schaktplan för lokaler blockerar åtkomst till bostadsdelen, och massbalansen måste räknas om för att minska transportbehovet.;Mark, Planering;Alla;Skalad;Fördröjning: 2 månader;Fördröjning: 1 månad;Hanterat: Ingen effekt;Väl löst: Ingen effekt;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder/Händelsekort Planering.png;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder/Leverantörer MARK.png;#0F3D5C;#1A6B9A;HÄNDELSEKORT;31;30;#1A6B9A;#FCF6EF;#DDE9F0
Förberedelse;MARKNADSTEAM;32;Reklamation från beställare;Negativt;Förberedelse;Medium;Beställaren reklamerar på utförandet av projekthandlingarna.;Marknadsteam, Beställare;Alla;Alla;Kostnad: -2 Mkr;Kostnad: -1 Mkr;Kostnad: -1 Mkr;Väl löst: Ingen effekt;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder/Händelsekort Planering.png;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder/Organisation Marknadsteam.png;#0F3D5C;#1A6B9A;HÄNDELSEKORT;32;29;#1A6B9A;#FCF6EF;#DDE9F0
Förberedelse;MARKNADSTEAM;33;Kundkontakt: statusuppdatering;Neutralt;Förberedelse;Medium;Beställaren vill ha regelbundna statusuppdateringar om projekteringsläget.;Marknadsteam, Kommunikation;Alla;Alla;Mindre problem: -1 Mkr;Hanterat: Ingen effekt;Väl hanterat: +1 Mkr;Mycket väl hanterat: +2 Mkr;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder/Händelsekort Planering.png;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder/Organisation Marknadsteam.png;#0F3D5C;#1A6B9A;HÄNDELSEKORT;33;36;#1A6B9A;#FCF6EF;#DDE9F0
Förberedelse;MARKNADSTEAM;34;Beställaren begär projektändring (B-ÄTA);Neutralt;Förberedelse;Medium;Beställaren vill ändra projektets utformning. Förhandla (B)ÄTA.;Marknadsteam, Beställare;Alla;Alla;Kostnad: -3 Mkr;Kostnad: -1 Mkr;Hanterat: Ingen effekt;Väl förhandlat: +2 Mkr;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder/Händelsekort Planering.png;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder/Organisation Marknadsteam.png;#0F3D5C;#1A6B9A;HÄNDELSEKORT;34;35;#1A6B9A;#FCF6EF;#DDE9F0
Förberedelse;OPERATIVT TEAM;35;Projektorganisationen brister i samordning;Negativt;Förberedelse;Medium;Projektledningen har svårt att samordna de olika konsulterna. Möten och beslut drar ut på tiden.;Operativt team, Samordning;Alla;Alla;Fördröjning: 3 månader;Fördröjning: 2 månader;Fördröjning: 1 månad;Väl löst: Ingen effekt;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder/Händelsekort Planering.png;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder/Organisation Operativt team.png;#0F3D5C;#1A6B9A;HÄNDELSEKORT;35;34;#1A6B9A;#FCF6EF;#DDE9F0
