Roll;ID;Namn;Specialisering;Rb;Lindring;Händelsemotstand;Nämnd;Q;H;T;Erfarenhet;STA;KOM;SAM;NOG;INN;ABM;Beskrivning;Projekt1;Projekt2;Projekt3;Projekt4;fill_color;line_color;@bild;ordning_bild;ordning_text;skede_color;bakskede;bakgrund_color
CFO;CFO-2;Strategen;Affärsstrategisk ekonomi;-;-;-;-;-;-;-;-;2;1;-;1;-;-;Räknar inte bara - bygger affärsmodellen från grunden. Ser portföljen som ett schackbräde och flyttar pjäserna med långsiktig blick. Om någon i ledningsgruppen ifrågasätter en investering har Strategen redan tre framtidsscenarier i bakfickan.;Modellerade tre finansieringsstrukturer för en stadsdelsutveckling — alla tre antogs av styrelsen, en valdes;Föreslog uppdelning av portföljen i två bolag tre år innan branschen följde efter;Konstruerade ett hybridlån som öppnade investeringsdörren på 1,4 mdr när banken hade stängt;Designade en avkastningsmodell som fortfarande används av bolagets investerargrupp;#7A2020;#7A2020;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\CFO Strategen.png;14;15;#7A2020;#FAEBEB;#FCF6EF
CFO;CFO-3;Vakthunden;Riskhantering;-;-;-;-;-;-;-;-;1;-;-;2;-;1;Försiktigheten på två ben. Säger nej oftare än ja och har elva worst-case-scenarier i varje föredragning. Räddar bolaget från det som aldrig händer - vilket är problemet, för man får aldrig veta hur många kriser som faktiskt undveks.;Avrådde från ett markförvärv tre månader före räntechocken — sparade bolaget uppskattningsvis 110 mkr;Implementerade ett scenarioarbete styrelsen nu kräver för varje förvärv över 50 mkr;Fick valutakursförsäkring på plats två veckor före kronfallet — inte tur, det stod i excelmodellen;Identifierade en juridisk svaghet i ett markköpsavtal som hade kunnat kosta bolaget hela investeringen;#7A2020;#7A2020;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\CFO Vakthunden.png;15;14;#7A2020;#FAEBEB;#FCF6EF
CFO;CFO-4;Statistikern;Modern controlling;-;-;-;-;-;-;-;-;-;1;-;1;2;-;Ekonomi i realtid på en dashboard som uppdateras varje natt klockan tre. Drar in BI-verktyg där andra fortfarande mejlar Excel-filer. Bygger framtidens controlling - så länge du står ut med entusiastiska föredragningar om datakvalitet.;Byggde en BI-plattform som gav projektmarginalsiffror i realtid — inte två månader senare;Implementerade rullande prognoser med scenarioanalys på fem variabler — styrelsen läser dem först av allt;Konsoliderade 12 olika excel-modeller till en enda Power BI-instans;Fick controllers från fyra dotterbolag att rapportera i samma datamodell — det tog ett år, men nu rullar det;#7A2020;#7A2020;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\CFO Statistikern.png;16;13;#7A2020;#FAEBEB;#FCF6EF
CFO;CFO-5;Berättaren;Investerar- & styrelsekommunikation;-;-;-;-;-;-;-;-;1;2;-;1;-;-;Förvandlar delårsrapporten från siffersoppa till berättelse. Styrelsen lyssnar, banken nickar, ägarna sover gott. Tar tid från detaljarbetet - men en CFO som kan kommunicera är värd flera procentenheter i förtroendekapital.;Skrev om årsredovisningen så att bankens kreditkommitté hörde av sig och bad hen komma och föreläsa;Höll emissionen lugn medan två konkurrenter pausade sina — investerarberättelsen höll;Fick en ovillig styrelseledamot att rösta för en kontroversiell investering med en enda slidesammanställning;Etablerade ett kvartalsformat för ägarkommunikation som inte ändrats på fem år — för att det fungerar;#7A2020;#7A2020;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\CFO Berättaren.png;17;20;#7A2020;#FAEBEB;#FCF6EF
CFO;CFO-6;Skattmästaren;Klassisk ekonomi;-;-;-;-;-;-;-;-;2;-;-;2;-;-;Trettio år i samma stol och har bokfört allt själv minst en gång. Stenhård budgetdisciplin, järnkoll på balansräkningen, traditionellt och ologiskt enkelt. Modern teknik är något andra får leka med - skattmästaren räknar för hand och stämmer alltid.;Bokslut levererat senast tre veckor efter periodslut — 17 år i rad;Stängde två gamla balansposter ingen vågat röra sedan tidigt 2000-tal;Fick revisorerna att skriva under utan en enda anmärkning fem år i rad;Vägrar adoptera nya redovisningsstandarder förrän de är obligatoriska — och har aldrig haft fel;#7A2020;#7A2020;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\CFO Skattmästaren.png;18;19;#7A2020;#FAEBEB;#FCF6EF
;;;;;;;;;;;;;;;;;;;;;;;;;;19;18;;;#FCF6EF
;;;;;;;;;;;;;;;;;;;;;;;;;;20;17;;;#FCF6EF
;;;;;;;;;;;;;;;;;;;;;;;;;;21;24;;;#FCF6EF
;;;;;;;;;;;;;;;;;;;;;;;;;;22;23;;;#FCF6EF
;;;;;;;;;;;;;;;;;;;;;;;;;;23;22;;;#FCF6EF
;;;;;;;;;;;;;;;;;;;;;;;;;;24;21;;;#FCF6EF
